m,TagName,
"2010-12-01 00:00:00","javascript","4948"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5400"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1462"
"2011-01-01 00:00:00","delphi","370"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c#","7994"
"2011-01-01 00:00:00","java","6546"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","480"
"2011-01-01 00:00:00","javascript","5428"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3501"
"2011-01-01 00:00:00","php","6444"
"2011-01-01 00:00:00","python","2907"
"2011-01-01 00:00:00","swift","3"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","java","6876"
"2011-02-01 00:00:00","c#","8233"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6723"
"2011-02-01 00:00:00","assembly","145"
"2011-02-01 00:00:00","c++","3449"
"2011-02-01 00:00:00","c","1641"
"2011-02-01 00:00:00","ruby","1253"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","3"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3017"
"2011-02-01 00:00:00","delphi","360"
"2011-03-01 00:00:00","php","8128"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3751"
"2011-03-01 00:00:00","javascript","6767"
"2011-03-01 00:00:00","c#","9998"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4182"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8482"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7903"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","553"
"2011-04-01 00:00:00","c#","9288"
"2011-04-01 00:00:00","c","2042"
"2011-04-01 00:00:00","php","7675"
"2011-04-01 00:00:00","assembly","158"
"2011-04-01 00:00:00","c++","4171"
"2011-04-01 00:00:00","javascript","6880"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1477"
"2011-04-01 00:00:00","python","3348"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3889"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10038"
"2011-05-01 00:00:00","java","8576"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","delphi","477"
"2011-05-01 00:00:00","go","37"
"2011-05-01 00:00:00","c","1826"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8121"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3522"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3475"
"2011-06-01 00:00:00","c#","9781"
"2011-06-01 00:00:00","assembly","140"
"2011-06-01 00:00:00","javascript","7693"
"2011-06-01 00:00:00","c","1767"
"2011-06-01 00:00:00","c++","3817"
"2011-06-01 00:00:00","perl","570"
"2011-06-01 00:00:00","ruby","1560"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7926"
"2011-06-01 00:00:00","php","8068"
"2011-06-01 00:00:00","swift","3"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9620"
"2011-07-01 00:00:00","javascript","8113"
"2011-07-01 00:00:00","java","8172"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3853"
"2011-07-01 00:00:00","php","8728"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1660"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","661"
"2011-07-01 00:00:00","delphi","430"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3667"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3835"
"2011-08-01 00:00:00","javascript","8907"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10090"
"2011-08-01 00:00:00","c++","3955"
"2011-08-01 00:00:00","java","8703"
"2011-08-01 00:00:00","php","8975"
"2011-08-01 00:00:00","perl","616"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1918"
"2011-09-01 00:00:00","python","3522"
"2011-09-01 00:00:00","javascript","8207"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1552"
"2011-09-01 00:00:00","java","8348"
"2011-09-01 00:00:00","c#","9323"
"2011-09-01 00:00:00","c++","3949"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8106"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8577"
"2011-10-01 00:00:00","assembly","213"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4357"
"2011-10-01 00:00:00","javascript","8045"
"2011-10-01 00:00:00","perl","560"
"2011-10-01 00:00:00","c#","9239"
"2011-10-01 00:00:00","c","2140"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8102"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3631"
"2011-10-01 00:00:00","ruby","1618"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","javascript","8691"
"2011-11-01 00:00:00","java","9665"
"2011-11-01 00:00:00","c#","9926"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4490"
"2011-11-01 00:00:00","c","2202"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8721"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","610"
"2011-11-01 00:00:00","swift","3"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9227"
"2011-12-01 00:00:00","php","8377"
"2011-12-01 00:00:00","c#","9338"
"2011-12-01 00:00:00","delphi","574"
"2011-12-01 00:00:00","c","2008"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","javascript","8347"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","542"
"2011-12-01 00:00:00","c++","4366"
"2011-12-01 00:00:00","python","3627"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1690"
"2012-01-01 00:00:00","java","10164"
"2012-01-01 00:00:00","javascript","9616"
"2012-01-01 00:00:00","c#","10477"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","170"
"2012-01-01 00:00:00","php","9362"
"2012-01-01 00:00:00","c++","4553"
"2012-01-01 00:00:00","c","2234"
"2012-01-01 00:00:00","perl","569"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1910"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4212"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","233"
"2012-02-01 00:00:00","javascript","10001"
"2012-02-01 00:00:00","python","4498"
"2012-02-01 00:00:00","java","10981"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5115"
"2012-02-01 00:00:00","c#","10778"
"2012-02-01 00:00:00","c","2412"
"2012-02-01 00:00:00","php","9984"
"2012-02-01 00:00:00","perl","615"
"2012-02-01 00:00:00","ruby","2051"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","499"
"2012-03-01 00:00:00","c++","5246"
"2012-03-01 00:00:00","java","12425"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11621"
"2012-03-01 00:00:00","c","2739"
"2012-03-01 00:00:00","javascript","10718"
"2012-03-01 00:00:00","php","10937"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","609"
"2012-03-01 00:00:00","python","5049"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2196"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12070"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","php","10470"
"2012-04-01 00:00:00","c","2671"
"2012-04-01 00:00:00","c++","5316"
"2012-04-01 00:00:00","perl","602"
"2012-04-01 00:00:00","c#","11152"
"2012-04-01 00:00:00","python","4932"
"2012-04-01 00:00:00","javascript","10702"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1975"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c++","4992"
"2012-05-01 00:00:00","c#","11605"
"2012-05-01 00:00:00","java","12214"
"2012-05-01 00:00:00","delphi","481"
"2012-05-01 00:00:00","javascript","11540"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2485"
"2012-05-01 00:00:00","perl","649"
"2012-05-01 00:00:00","ruby","1980"
"2012-05-01 00:00:00","php","10982"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5111"
"2012-06-01 00:00:00","java","11142"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11342"
"2012-06-01 00:00:00","javascript","11265"
"2012-06-01 00:00:00","assembly","203"
"2012-06-01 00:00:00","c","2316"
"2012-06-01 00:00:00","c++","4663"
"2012-06-01 00:00:00","php","10630"
"2012-06-01 00:00:00","python","5286"
"2012-06-01 00:00:00","perl","745"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","442"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5289"
"2012-07-01 00:00:00","c","2374"
"2012-07-01 00:00:00","c#","12347"
"2012-07-01 00:00:00","java","12274"
"2012-07-01 00:00:00","python","5738"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12323"
"2012-07-01 00:00:00","perl","668"
"2012-07-01 00:00:00","swift","6"
"2012-07-01 00:00:00","r","1121"
"2012-07-01 00:00:00","php","11797"
"2012-07-01 00:00:00","ruby","2066"
"2012-08-01 00:00:00","php","11943"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11973"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5167"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5872"
"2012-08-01 00:00:00","c","2322"
"2012-08-01 00:00:00","javascript","12448"
"2012-08-01 00:00:00","perl","769"
"2012-08-01 00:00:00","ruby","2063"
"2012-08-01 00:00:00","java","12275"
"2012-08-01 00:00:00","swift","4"
"2012-08-01 00:00:00","r","1090"
"2012-09-01 00:00:00","javascript","11172"
"2012-09-01 00:00:00","c","2533"
"2012-09-01 00:00:00","c#","11290"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11635"
"2012-09-01 00:00:00","c++","4917"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11030"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","671"
"2012-09-01 00:00:00","python","5260"
"2012-09-01 00:00:00","r","1060"
"2012-09-01 00:00:00","ruby","1960"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12741"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5918"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12428"
"2012-10-01 00:00:00","assembly","315"
"2012-10-01 00:00:00","c","3155"
"2012-10-01 00:00:00","python","6138"
"2012-10-01 00:00:00","java","13517"
"2012-10-01 00:00:00","php","11840"
"2012-10-01 00:00:00","swift","4"
"2012-10-01 00:00:00","perl","693"
